Dataset,Model,Attribute,Group,n,MAE,RMSE,MAPE_%,MeanSignedErr,Under_%
AEMO regional load,kNN,Time of day,Daytime (10-16),360.0,314.4265777777779,395.5196167558711,3.639970080816183,53.20744444444443,45.0
AEMO regional load,kNN,Time of day,Evening peak (16-21),300.0,277.4717133333335,362.3240236483546,2.769542078145619,-41.09797999999994,55.333333333333336
AEMO regional load,kNN,Time of day,Late evening (21-24),180.0,233.05963333333324,292.8843308820054,2.5167045726053003,-32.175988888888796,52.22222222222223
AEMO regional load,kNN,Time of day,Morning ramp (6-10),240.0,301.36762500000003,373.49575417156126,3.3352095936642616,-57.794225000000054,55.833333333333336
AEMO regional load,kNN,Time of day,Overnight (0-6),360.0,176.18715555555562,221.43252170266237,2.3662373347399837,-28.426011111111144,53.333333333333336
AEMO regional load,kNN,Day type,Weekday,1055.0,282.52952796208535,358.2948065835919,3.136618742653989,-22.36463317535545,54.21800947867299
AEMO regional load,kNN,Day type,Weekend,385.0,197.5916103896105,264.01856287491444,2.434861415824217,1.3618649350649898,45.714285714285715
AEMO regional load,kNN,Load level,Other 90%,1296.0,247.84653549382725,321.3316174779329,2.8974203208436884,10.836918209876528,48.91975308641975
AEMO regional load,kNN,Load level,Top-10% load,144.0,367.5855,444.529568814794,3.4131783526309842,-257.7431666666665,79.16666666666666
AEMO regional load,MLP,Time of day,Daytime (10-16),360.0,293.4636290698837,384.9181227320978,3.3765485877051846,-30.597000380726676,48.333333333333336
AEMO regional load,MLP,Time of day,Evening peak (16-21),300.0,261.3831916880757,324.5859400047719,2.627481183808853,-13.909640473739127,51.66666666666667
AEMO regional load,MLP,Time of day,Late evening (21-24),180.0,256.4919862654905,309.8918483287862,2.7927933864681522,-21.90948795986375,49.44444444444444
AEMO regional load,MLP,Time of day,Morning ramp (6-10),240.0,295.5815002334776,361.56499439405906,3.3166655975593957,-16.313057179829425,48.75
AEMO regional load,MLP,Time of day,Overnight (0-6),360.0,224.43807721118756,270.5789330484945,3.0425383340390404,24.252017502932503,45.55555555555556
AEMO regional load,MLP,Day type,Weekday,1055.0,267.1113303864532,341.0873041387218,2.9691148046991507,-38.67297933579705,51.65876777251185
AEMO regional load,MLP,Day type,Weekend,385.0,260.1694436200602,310.9409807061787,3.2867586519259606,68.78978094858111,40.0
AEMO regional load,MLP,Load level,Other 90%,1296.0,261.99210861112385,329.9219255915835,3.0894216485840746,9.458485070854833,45.910493827160494
AEMO regional load,MLP,Load level,Top-10% load,144.0,294.6244207737134,362.2375108930765,2.735609329056515,-184.54252906868092,72.22222222222221
Kaggle Victoria demand,kNN,Day type,Weekday,1501.0,5853.499877415056,7581.798326702575,4.725035339604303,-936.2368021319114,52.831445702864755
Kaggle Victoria demand,kNN,Day type,Weekend,601.0,5291.701732113145,6800.954984283616,4.917063838373261,1709.4852628951749,37.10482529118136
Kaggle Victoria demand,kNN,Public holiday,Holiday,77.0,5112.187740259739,6901.8875288268855,4.946687036454093,-791.2988311688332,53.246753246753244
Kaggle Victoria demand,kNN,Public holiday,Non-holiday,2025.0,5714.951901728395,7384.1021324088815,4.773599264099468,-156.52384543209854,48.148148148148145
Kaggle Victoria demand,kNN,School day,Non-school day,653.0,6491.205456355286,8478.769859302196,5.548520545393081,-10.07140428790285,46.248085758039814
Kaggle Victoria demand,kNN,School day,School day,1449.0,5333.097925465837,6806.867403966735,4.433574531032925,-256.2554658385085,49.275362318840585
Kaggle Victoria demand,kNN,Season,Autumn (Mar-May),552.0,5678.764567028984,7113.840149111838,4.885071403736578,910.1829474637683,43.29710144927536
Kaggle Victoria demand,kNN,Season,Spring (Sep-Nov),488.0,5643.85294467213,7180.450592485067,4.951433159134086,645.8824733606563,44.05737704918033
Kaggle Victoria demand,kNN,Season,Summer (Dec-Feb),511.0,7455.068866927594,9483.385112996533,6.262931602769492,-1412.4984481409006,50.09784735812133
Kaggle Victoria demand,kNN,Season,Winter (Jun-Aug),551.0,4116.148072595282,5222.5971872465425,3.1473984865211504,-859.7381560798539,55.53539019963702
Kaggle Victoria demand,kNN,Max temperature,Extreme heat (>=35C),63.0,9117.320761904763,11711.560580826244,6.269907349394062,-5668.294634920634,66.66666666666666
Kaggle Victoria demand,kNN,Max temperature,Mild (<25C),1652.0,5176.196016949153,6608.749060628709,4.422773714046755,317.90082445520636,46.973365617433416
Kaggle Victoria demand,kNN,Max temperature,Warm (25-35C),387.0,7340.953563307494,9274.437051651976,6.062033780339336,-1410.7503798449616,51.162790697674424
Kaggle Victoria demand,kNN,Price regime,Normal (RRP<300),2093.0,5687.681361681796,7366.869857381345,4.782263125791907,-165.81910559006178,48.2560917343526
Kaggle Victoria demand,kNN,Price regime,Price spike (RRP>=300),9.0,6899.885222222216,7395.974381177873,4.239632147325185,-3425.7121111111096,66.66666666666666
Kaggle Victoria demand,kNN,Year,2015,364.0,7081.744153846156,8951.807132513974,5.580434500929387,-6372.53626373627,86.81318681318682
Kaggle Victoria demand,kNN,Year,2016,366.0,6012.398937158466,7628.720966040676,4.872943974638382,-3667.1017950819614,71.03825136612022
Kaggle Victoria demand,kNN,Year,2017,364.0,4840.239137362638,6267.571381785109,4.177166981970099,1625.5991813186854,37.08791208791209
Kaggle Victoria demand,kNN,Year,2018,363.0,5063.903600550963,6874.890136814229,4.2769125972550945,1232.0276887052323,40.49586776859504
Kaggle Victoria demand,kNN,Year,2019,365.0,4990.266008219175,6462.583424548506,4.328508538600765,2326.362479452053,29.315068493150687
Kaggle Victoria demand,kNN,Year,2020,280.0,6309.400100000002,7771.696701875683,5.6419431704373215,4985.018578571428,18.21428571428571
Kaggle Victoria demand,MLP,Day type,Weekday,1501.0,5869.269619973942,8177.387488567642,4.7533460622202774,-636.2907293691798,52.498334443704195
Kaggle Victoria demand,MLP,Day type,Weekend,601.0,4576.4132016314825,5903.178539757009,4.270531108442041,1359.32557493414,43.09484193011647
Kaggle Victoria demand,MLP,Public holiday,Holiday,77.0,4717.280402071398,6372.461642289408,4.651141724505755,48.98106342929437,50.649350649350644
Kaggle Victoria demand,MLP,Public holiday,Non-holiday,2025.0,5529.366638420696,7639.659029466616,4.613937640878697,-70.06876846013637,49.77777777777778
Kaggle Victoria demand,MLP,School day,Non-school day,653.0,6376.429124244124,9479.870072433134,5.424597006115065,736.2449549008311,46.55436447166922
Kaggle Victoria demand,MLP,School day,School day,1449.0,5104.478823761211,6574.464053038499,4.2505864669242,-427.1122634906579,51.2767425810904
Kaggle Victoria demand,MLP,Season,Autumn (Mar-May),552.0,5289.221595578541,6650.856866990855,4.549810780395803,438.12364477102085,45.65217391304348
Kaggle Victoria demand,MLP,Season,Spring (Sep-Nov),488.0,5494.871068976889,7105.3345405727505,4.803874567207655,272.0945005489682,47.33606557377049
Kaggle Victoria demand,MLP,Season,Summer (Dec-Feb),511.0,7091.255954013075,10499.2249607289,5.9936819430903,594.0851686825521,43.24853228962818
Kaggle Victoria demand,MLP,Season,Winter (Jun-Aug),551.0,4238.509689365971,5377.090924683358,3.235578626263779,-1481.5274112994641,62.25045372050817
Kaggle Victoria demand,MLP,Max temperature,Extreme heat (>=35C),63.0,8794.93340387688,19588.052789778663,6.054768530310728,1505.9630065385556,46.03174603174603
Kaggle Victoria demand,MLP,Max temperature,Mild (<25C),1652.0,5126.910985194086,6512.263700948075,4.361672395150918,-51.99472024094017,50.66585956416465
Kaggle Victoria demand,MLP,Max temperature,Warm (25-35C),387.0,6554.160934823088,8365.290453538022,5.46363933169874,-380.0984646553405,46.770025839793284
Kaggle Victoria demand,MLP,Price regime,Normal (RRP<300),2093.0,5442.078989976148,6973.387037254445,4.583282880642645,-119.57019126324523,49.68944099378882
Kaggle Victoria demand,MLP,Price regime,Price spike (RRP>=300),9.0,18880.7453045922,46590.48207663699,12.061174042361026,12460.299562916749,77.77777777777779
