Dataset,Model,Attribute,Metric,Overall,Best,BestVal,Worst,WorstVal,Difference,Ratio_worst_over_best
AEMO regional load,kNN,Time of day,MAE,259.8204319444445,Overnight (0-6),176.18715555555562,Daytime (10-16),314.4265777777779,138.23942222222226,1.7846169136809316
AEMO regional load,kNN,Time of day,RMSE,335.69221216309563,Overnight (0-6),221.43252170266237,Daytime (10-16),395.5196167558711,174.0870950532087,1.7861857585986007
AEMO regional load,kNN,Time of day,MAPE_%,2.9489961240224183,Overnight (0-6),2.3662373347399837,Daytime (10-16),3.639970080816183,1.2737327460761994,1.5382945858286716
AEMO regional load,kNN,Day type,MAE,259.8204319444445,Weekend,197.5916103896105,Weekday,282.52952796208535,84.93791757247484,1.4298660120487632
AEMO regional load,kNN,Day type,RMSE,335.69221216309563,Weekend,264.01856287491444,Weekday,358.2948065835919,94.27624370867744,1.3570818759184868
AEMO regional load,kNN,Day type,MAPE_%,2.9489961240224183,Weekend,2.434861415824217,Weekday,3.136618742653989,0.7017573268297719,1.2882124306003766
AEMO regional load,kNN,Load level,MAE,259.8204319444445,Other 90%,247.84653549382725,Top-10% load,367.5855,119.73896450617278,1.483117362393613
AEMO regional load,kNN,Load level,RMSE,335.69221216309563,Other 90%,321.3316174779329,Top-10% load,444.529568814794,123.19795133686108,1.3833981613879673
AEMO regional load,kNN,Load level,MAPE_%,2.9489961240224183,Other 90%,2.8974203208436884,Top-10% load,3.4131783526309842,0.5157580317872958,1.1780059413806812
AEMO regional load,MLP,Time of day,MAE,265.25533982738284,Overnight (0-6),224.43807721118756,Morning ramp (6-10),295.5815002334776,71.14342302229002,1.31698463962221
AEMO regional load,MLP,Time of day,RMSE,333.2945104817265,Overnight (0-6),270.5789330484945,Daytime (10-16),384.9181227320978,114.33918968360331,1.422572402054342
AEMO regional load,MLP,Time of day,MAPE_%,3.0540404166313184,Evening peak (16-21),2.627481183808853,Daytime (10-16),3.3765485877051846,0.7490674038963316,1.2850895407024256
AEMO regional load,MLP,Day type,MAE,265.25533982738284,Weekend,260.1694436200602,Weekday,267.1113303864532,6.941886766392997,1.0266821755460669
AEMO regional load,MLP,Day type,RMSE,333.2945104817265,Weekend,310.9409807061787,Weekday,341.0873041387218,30.146323432543056,1.0969519146819364
AEMO regional load,MLP,Day type,MAPE_%,3.0540404166313184,Weekday,2.9691148046991507,Weekend,3.2867586519259606,0.31764384722680994,1.106982676023198
AEMO regional load,MLP,Load level,MAE,265.25533982738284,Other 90%,261.99210861112385,Top-10% load,294.6244207737134,32.63231216258953,1.1245545613399595
AEMO regional load,MLP,Load level,RMSE,333.2945104817265,Other 90%,329.9219255915835,Top-10% load,362.2375108930765,32.315585301493,1.0979491897773932
AEMO regional load,MLP,Load level,MAPE_%,3.0540404166313184,Top-10% load,2.735609329056515,Other 90%,3.0894216485840746,0.35381231952755954,1.1293358359943837
Kaggle Victoria demand,kNN,Day type,MAE,5692.871578020932,Weekend,5291.701732113145,Weekday,5853.499877415056,561.7981453019111,1.1061658751271999
Kaggle Victoria demand,kNN,Day type,RMSE,7366.9947174758745,Weekend,6800.954984283616,Weekday,7581.798326702575,780.8433424189589,1.114813778980072
Kaggle Victoria demand,kNN,Day type,MAPE_%,4.779939777168597,Weekday,4.725035339604303,Weekend,4.917063838373261,0.19202849876895822,1.0406406481575732
Kaggle Victoria demand,kNN,Public holiday,MAE,5692.871578020932,Holiday,5112.187740259739,Non-holiday,5714.951901728395,602.7641614686554,1.1179072819884408
Kaggle Victoria demand,kNN,Public holiday,RMSE,7366.9947174758745,Holiday,6901.8875288268855,Non-holiday,7384.1021324088815,482.214603581996,1.069867061954856
Kaggle Victoria demand,kNN,Public holiday,MAPE_%,4.779939777168597,Non-holiday,4.773599264099468,Holiday,4.946687036454093,0.17308777235462447,1.0362593847490207
Kaggle Victoria demand,kNN,School day,MAE,5692.871578020932,School day,5333.097925465837,Non-school day,6491.205456355286,1158.1075308894488,1.2171547470297557
Kaggle Victoria demand,kNN,School day,RMSE,7366.9947174758745,School day,6806.867403966735,Non-school day,8478.769859302196,1671.9024553354611,1.2456199535135872
Kaggle Victoria demand,kNN,School day,MAPE_%,4.779939777168597,School day,4.433574531032925,Non-school day,5.548520545393081,1.1149460143601555,1.2514779004065593
Kaggle Victoria demand,kNN,Season,MAE,5692.871578020932,Winter (Jun-Aug),4116.148072595282,Summer (Dec-Feb),7455.068866927594,3338.9207943323117,1.8111760644769712
Kaggle Victoria demand,kNN,Season,RMSE,7366.9947174758745,Winter (Jun-Aug),5222.5971872465425,Summer (Dec-Feb),9483.385112996533,4260.787925749991,1.8158369816754647
Kaggle Victoria demand,kNN,Season,MAPE_%,4.779939777168597,Winter (Jun-Aug),3.1473984865211504,Summer (Dec-Feb),6.262931602769492,3.1155331162483417,1.9898756479647324
Kaggle Victoria demand,kNN,Max temperature,MAE,5692.871578020932,Mild (<25C),5176.196016949153,Extreme heat (>=35C),9117.320761904763,3941.1247449556095,1.7613940299112756
Kaggle Victoria demand,kNN,Max temperature,RMSE,7366.9947174758745,Mild (<25C),6608.749060628709,Extreme heat (>=35C),11711.560580826244,5102.811520197535,1.7721297137150023
Kaggle Victoria demand,kNN,Max temperature,MAPE_%,4.779939777168597,Mild (<25C),4.422773714046755,Extreme heat (>=35C),6.269907349394062,1.8471336353473067,1.417641451897211
Kaggle Victoria demand,kNN,Price regime,MAE,5692.871578020932,Normal (RRP<300),5687.681361681796,Normal (RRP<300),5687.681361681796,0.0,1.0
Kaggle Victoria demand,kNN,Price regime,RMSE,7366.9947174758745,Normal (RRP<300),7366.869857381345,Normal (RRP<300),7366.869857381345,0.0,1.0
Kaggle Victoria demand,kNN,Price regime,MAPE_%,4.779939777168597,Normal (RRP<300),4.782263125791907,Normal (RRP<300),4.782263125791907,0.0,1.0
Kaggle Victoria demand,kNN,Year,MAE,5692.871578020932,2017,4840.239137362638,2015,7081.744153846156,2241.5050164835184,1.4630979901759307
Kaggle Victoria demand,kNN,Year,RMSE,7366.9947174758745,2017,6267.571381785109,2015,8951.807132513974,2684.2357507288643,1.428273662511419
Kaggle Victoria demand,kNN,Year,MAPE_%,4.779939777168597,2017,4.177166981970099,2020,5.6419431704373215,1.4647761884672228,1.350662588972295
Kaggle Victoria demand,MLP,Day type,MAE,5499.618474672411,Weekend,4576.4132016314825,Weekday,5869.269619973942,1292.8564183424596,1.2825043022517195
Kaggle Victoria demand,MLP,Day type,RMSE,7596.969903793244,Weekend,5903.178539757009,Weekday,8177.387488567642,2274.208948810633,1.3852515951354312
Kaggle Victoria demand,MLP,Day type,MAPE_%,4.615300492657613,Weekend,4.270531108442041,Weekday,4.7533460622202774,0.48281495377823624,1.1130573555180998
Kaggle Victoria demand,MLP,Public holiday,MAE,5499.618474672411,Holiday,4717.280402071398,Non-holiday,5529.366638420696,812.0862363492979,1.1721513599218532
Kaggle Victoria demand,MLP,Public holiday,RMSE,7596.969903793244,Holiday,6372.461642289408,Non-holiday,7639.659029466616,1267.197387177208,1.1988552396718621
Kaggle Victoria demand,MLP,Public holiday,MAPE_%,4.615300492657613,Non-holiday,4.613937640878697,Holiday,4.651141724505755,0.03720408362705818,1.0080634127556116
Kaggle Victoria demand,MLP,School day,MAE,5499.618474672411,School day,5104.478823761211,Non-school day,6376.429124244124,1271.950300482913,1.2491831868440748
Kaggle Victoria demand,MLP,School day,RMSE,7596.969903793244,School day,6574.464053038499,Non-school day,9479.870072433134,2905.406019394635,1.4419228694469557
Kaggle Victoria demand,MLP,School day,MAPE_%,4.615300492657613,School day,4.2505864669242,Non-school day,5.424597006115065,1.1740105391908653,1.2761996605236454
Kaggle Victoria demand,MLP,Season,MAE,5499.618474672411,Winter (Jun-Aug),4238.509689365971,Summer (Dec-Feb),7091.255954013075,2852.746264647104,1.6730540859218468
Kaggle Victoria demand,MLP,Season,RMSE,7596.969903793244,Winter (Jun-Aug),5377.090924683358,Summer (Dec-Feb),10499.2249607289,5122.1340360455415,1.9525846052802556
Kaggle Victoria demand,MLP,Season,MAPE_%,4.615300492657613,Winter (Jun-Aug),3.235578626263779,Summer (Dec-Feb),5.9936819430903,2.7581033168265208,1.8524296997261929
Kaggle Victoria demand,MLP,Max temperature,MAE,5499.618474672411,Mild (<25C),5126.910985194086,Extreme heat (>=35C),8794.93340387688,3668.0224186827936,1.715444919811483
Kaggle Victoria demand,MLP,Max temperature,RMSE,7596.969903793244,Mild (<25C),6512.263700948075,Extreme heat (>=35C),19588.052789778663,13075.789088830588,3.007871561915863
Kaggle Victoria demand,MLP,Max temperature,MAPE_%,4.615300492657613,Mild (<25C),4.361672395150918,Extreme heat (>=35C),6.054768530310728,1.6930961351598102,1.3881759063431969
Kaggle Victoria demand,MLP,Price regime,MAE,5499.618474672411,Normal (RRP<300),5442.078989976148,Normal (RRP<300),5442.078989976148,0.0,1.0
Kaggle Victoria demand,MLP,Price regime,RMSE,7596.969903793244,Normal (RRP<300),6973.387037254445,Normal (RRP<300),6973.387037254445,0.0,1.0
Kaggle Victoria demand,MLP,Price regime,MAPE_%,4.615300492657613,Normal (RRP<300),4.583282880642645,Normal (RRP<300),4.583282880642645,0.0,1.0
Kaggle Victoria demand,MLP,Year,MAE,5499.618474672411,2018,4325.91884421903,2015,7201.972580377881,2876.0537361588513,1.6648422773816676
Kaggle Victoria demand,MLP,Year,RMSE,7596.969903793244,2018,5789.30974025518,2019,9492.099882701226,3702.790142446046,1.6395909544620142
Kaggle Victoria demand,MLP,Year,MAPE_%,4.615300492657613,2018,3.682894613868162,2020,5.689670054333304,2.0067754404651414,1.5448908130329082
