Dataset,Model,frac,n_train,fold,rep,test_RMSE,train_RMSE
aemo,kNN,0.1,115,0,0,298.5468578333038,275.4802685025933
aemo,kNN,0.1,115,0,1,325.6651089486375,290.3834217501136
aemo,kNN,0.1,115,0,2,287.6421844360919,320.7502541685395
aemo,kNN,0.1,115,0,3,310.4927079305436,250.19803443025936
aemo,kNN,0.1,115,0,4,278.3788694354382,268.40115983712343
aemo,kNN,0.25,288,0,0,251.08062005962904,227.9412013835293
aemo,kNN,0.25,288,0,1,264.12403764769215,242.79066332388072
aemo,kNN,0.25,288,0,2,257.2298327719029,245.06196551901266
aemo,kNN,0.25,288,0,3,279.766451771508,240.22621610615394
aemo,kNN,0.25,288,0,4,245.98253698410974,236.11389737261575
aemo,kNN,0.5,576,0,0,245.2596677673143,199.98978166450223
aemo,kNN,0.5,576,0,1,266.76439557209375,196.82370263163173
aemo,kNN,0.5,576,0,2,280.1671757012528,194.3975394576294
aemo,kNN,0.5,576,0,3,259.3257832380763,197.5363737067738
aemo,kNN,0.5,576,0,4,268.68429393528015,202.74723266024836
aemo,kNN,0.75,864,0,0,244.71253696202203,176.29010680762937
aemo,kNN,0.75,864,0,1,256.5288200887747,172.81586259033799
aemo,kNN,0.75,864,0,2,256.88902347736246,171.90392584593693
aemo,kNN,0.75,864,0,3,269.2522536980374,173.19579350876168
aemo,kNN,0.75,864,0,4,261.713848312427,174.78094223973136
aemo,kNN,1.0,1152,0,0,259.8487449700307,157.30236366450748
aemo,kNN,1.0,1152,0,1,259.8487449700307,157.30236366450748
aemo,kNN,1.0,1152,0,2,259.8487449700307,157.30236366450748
aemo,kNN,1.0,1152,0,3,259.8487449700307,157.30236366450748
aemo,kNN,1.0,1152,0,4,259.8487449700307,157.30236366450748
aemo,kNN,0.1,115,1,0,436.64730550312447,258.7184881698724
aemo,kNN,0.1,115,1,1,423.7276756429018,236.18998843061107
aemo,kNN,0.1,115,1,2,454.21404620177276,268.0214135851997
aemo,kNN,0.1,115,1,3,436.26110838958084,261.44588540332836
aemo,kNN,0.1,115,1,4,434.1148235914153,251.17883867659282
aemo,kNN,0.25,288,1,0,406.47551590327475,224.08945643369742
aemo,kNN,0.25,288,1,1,394.45725814835333,188.6775073053077
aemo,kNN,0.25,288,1,2,407.8110958936067,217.97344398588905
aemo,kNN,0.25,288,1,3,407.6701453908881,210.2377731573627
aemo,kNN,0.25,288,1,4,392.53877240643027,209.19704645112702
aemo,kNN,0.5,576,1,0,399.3924298886687,185.44922915514124
aemo,kNN,0.5,576,1,1,404.6916286484206,175.86470035414382
