Dataset,Model,frac,n_train,fold,rep,test_RMSE,train_RMSE
kaggle,kNN,0.1,168,0,0,9634.976968655827,6959.992723869763
kaggle,kNN,0.1,168,0,1,11609.87495801629,6869.771250274207
kaggle,kNN,0.1,168,0,2,11147.23700009998,7727.865926972621
kaggle,kNN,0.1,168,0,3,11256.39617172024,7109.358742771144
kaggle,kNN,0.1,168,0,4,11154.221484021036,7231.144521029133
kaggle,kNN,0.25,420,0,0,10638.762734729738,5779.294327108697
kaggle,kNN,0.25,420,0,1,9905.695147576487,5624.361326420867
kaggle,kNN,0.25,420,0,2,9891.98856894204,6295.12237359527
kaggle,kNN,0.25,420,0,3,9789.235432032614,5662.537316330019
kaggle,kNN,0.25,420,0,4,8923.910412678728,6137.995778479468
kaggle,kNN,0.5,840,0,0,10656.21900762201,5185.499768156859
kaggle,kNN,0.5,840,0,1,9789.084008283202,5342.455331882135
kaggle,kNN,0.5,840,0,2,9380.362202128525,5483.579599978225
kaggle,kNN,0.5,840,0,3,9702.249768129992,5282.802440065872
kaggle,kNN,0.5,840,0,4,9159.123534584707,5429.931552424412
kaggle,kNN,0.75,1261,0,0,8861.542810342155,5108.1128392940955
kaggle,kNN,0.75,1261,0,1,9697.042526410776,5087.847173202953
kaggle,kNN,0.75,1261,0,2,9188.339712693733,5079.177367480758
kaggle,kNN,0.75,1261,0,3,9288.16562246058,5043.3520783642725
kaggle,kNN,0.75,1261,0,4,8906.924598641777,5260.4138651425055
kaggle,kNN,1.0,1681,0,0,9202.561428267949,4995.415733704049
kaggle,kNN,1.0,1681,0,1,9202.561428267949,4995.415733704049
kaggle,kNN,1.0,1681,0,2,9202.561428267949,4995.415733704049
kaggle,kNN,1.0,1681,0,3,9202.561428267949,4995.415733704049
kaggle,kNN,1.0,1681,0,4,9202.561428267949,4995.415733704049
kaggle,kNN,0.1,168,1,0,8276.960148753311,7190.950289597791
kaggle,kNN,0.1,168,1,1,8875.539306699508,6830.982337490979
kaggle,kNN,0.1,168,1,2,9022.374041371439,7215.6754454170905
kaggle,kNN,0.1,168,1,3,8661.343332701841,6652.965547685051
kaggle,kNN,0.1,168,1,4,8392.987209239627,6823.3063852539935
kaggle,kNN,0.25,420,1,0,7560.887075159146,6151.2479976725845
kaggle,kNN,0.25,420,1,1,7701.159738508589,5819.904676709426
kaggle,kNN,0.25,420,1,2,7859.238234590417,5966.925912062592
kaggle,kNN,0.25,420,1,3,7862.663351618981,5715.43172648927
kaggle,kNN,0.25,420,1,4,7739.573207438658,6687.353173076808
kaggle,kNN,0.5,840,1,0,7564.639556581428,5733.81651568357
kaggle,kNN,0.5,840,1,1,7220.362876261833,5455.9310955568735
kaggle,kNN,0.5,840,1,2,7253.512232789587,5484.803330511659
kaggle,kNN,0.5,840,1,3,7177.25265396631,5522.630586859581
kaggle,kNN,0.5,840,1,4,7441.138935159243,5798.419330443865
kaggle,kNN,0.75,1261,1,0,7239.267493766837,5485.175037257609
kaggle,kNN,0.75,1261,1,1,7031.5467233989675,5539.522800179931
kaggle,kNN,0.75,1261,1,2,7122.813227703486,5500.5067639337785
kaggle,kNN,0.75,1261,1,3,7090.048041113275,5369.315740603815
kaggle,kNN,0.75,1261,1,4,6855.632209058517,5388.632479961063
kaggle,kNN,1.0,1681,1,0,6960.364835235109,5263.6134745495965
kaggle,kNN,1.0,1681,1,1,6960.364835235109,5263.6134745495965
kaggle,kNN,1.0,1681,1,2,6960.364835235109,5263.6134745495965
kaggle,kNN,1.0,1681,1,3,6960.364835235109,5263.6134745495965
kaggle,kNN,1.0,1681,1,4,6960.364835235109,5263.6134745495965
kaggle,kNN,0.1,168,2,0,9679.050588507502,7497.29165797301
kaggle,kNN,0.1,168,2,1,9504.556883814268,7123.067881659372
kaggle,kNN,0.1,168,2,2,8669.70427750053,6969.992603551048
kaggle,kNN,0.1,168,2,3,9849.180779585082,7230.866157481827
kaggle,kNN,0.1,168,2,4,9189.7730135794,7312.895800724849
kaggle,kNN,0.25,420,2,0,8040.0515479389,6750.9313518084155
kaggle,kNN,0.25,420,2,1,7994.974036167287,6404.681448599122
kaggle,kNN,0.25,420,2,2,7719.116483875052,6236.848863144784
kaggle,kNN,0.25,420,2,3,8078.221907169524,6288.285013826529
kaggle,kNN,0.25,420,2,4,8020.279229642216,6611.449196798151
kaggle,kNN,0.5,841,2,0,6828.653799448561,5968.80605319823
kaggle,kNN,0.5,841,2,1,7290.123456337597,5845.48658058451
kaggle,kNN,0.5,841,2,2,7304.810066634854,5861.411662027354
kaggle,kNN,0.5,841,2,3,7077.965984585597,5696.9915662420735
kaggle,kNN,0.5,841,2,4,6850.356680604993,5877.76946342445
kaggle,kNN,0.75,1262,2,0,6589.9228852241085,5438.210701098525
kaggle,kNN,0.75,1262,2,1,6825.453868139293,5557.99767031693
kaggle,kNN,0.75,1262,2,2,6835.221914569821,5596.681336146723
kaggle,kNN,0.75,1262,2,3,6967.90924259158,5458.5826138280845
kaggle,kNN,0.75,1262,2,4,6790.671714438288,5523.258876413724
kaggle,kNN,1.0,1682,2,0,6632.615197699408,5357.790310643133
kaggle,kNN,1.0,1682,2,1,6632.615197699408,5357.790310643133
kaggle,kNN,1.0,1682,2,2,6632.615197699408,5357.790310643133
kaggle,kNN,1.0,1682,2,3,6632.615197699408,5357.790310643133
kaggle,kNN,1.0,1682,2,4,6632.615197699408,5357.790310643133
kaggle,kNN,0.1,168,3,0,8582.706865855449,7245.6901157060065
kaggle,kNN,0.1,168,3,1,9082.649117160187,7658.432045807768
kaggle,kNN,0.1,168,3,2,9600.952466810948,6599.267333052341
kaggle,kNN,0.1,168,3,3,9024.617764359298,6924.417495896689
kaggle,kNN,0.1,168,3,4,8192.533260181164,6780.220429864568
kaggle,kNN,0.25,420,3,0,7148.917743079061,6175.692318460173
kaggle,kNN,0.25,420,3,1,7495.1473713139485,6248.025246157556
kaggle,kNN,0.25,420,3,2,8121.616297667629,6284.392242951077
kaggle,kNN,0.25,420,3,3,7859.76076773128,6351.958443571729
kaggle,kNN,0.25,420,3,4,7279.990896355395,6023.101911503141
kaggle,kNN,0.5,841,3,0,6523.30293934303,5917.715478316748
kaggle,kNN,0.5,841,3,1,6901.058248675077,5870.479155501351
kaggle,kNN,0.5,841,3,2,6456.615042476363,5802.787033005031
kaggle,kNN,0.5,841,3,3,7152.683734343816,5878.855431800126
kaggle,kNN,0.5,841,3,4,6915.5324222816325,5787.821593564048
kaggle,kNN,0.75,1262,3,0,6376.587459465705,5538.945849251991
kaggle,kNN,0.75,1262,3,1,6601.49519573182,5628.070956778048
kaggle,kNN,0.75,1262,3,2,6471.1471714277395,5492.417113344868
kaggle,kNN,0.75,1262,3,3,6630.875572673019,5463.829120766694
kaggle,kNN,0.75,1262,3,4,6698.71231914635,5499.835184895779
kaggle,kNN,1.0,1682,3,0,6324.058641509567,5364.578503869702
kaggle,kNN,1.0,1682,3,1,6324.058641509567,5364.578503869702
kaggle,kNN,1.0,1682,3,2,6324.058641509567,5364.578503869702
kaggle,kNN,1.0,1682,3,3,6324.058641509567,5364.578503869702
kaggle,kNN,1.0,1682,3,4,6324.058641509567,5364.578503869702
kaggle,kNN,0.1,168,4,0,10173.495180851232,7168.30540265788
kaggle,kNN,0.1,168,4,1,10318.928197008261,8217.341236530405
kaggle,kNN,0.1,168,4,2,10287.945197766196,6861.23757712709
kaggle,kNN,0.1,168,4,3,10628.579279964164,7071.917578109823
kaggle,kNN,0.1,168,4,4,8695.558022564986,6451.602000451809
kaggle,kNN,0.25,420,4,0,8962.395926882686,6140.279733665883
kaggle,kNN,0.25,420,4,1,9038.618280229639,7112.922049094611
kaggle,kNN,0.25,420,4,2,8623.389330306672,6114.722989366477
kaggle,kNN,0.25,420,4,3,9489.69124907388,6213.483136191278
kaggle,kNN,0.25,420,4,4,8806.92559703659,6055.455517983903
kaggle,kNN,0.5,841,4,0,7908.853840492207,5521.489929303748
kaggle,kNN,0.5,841,4,1,8294.933337919605,5815.513291854397
kaggle,kNN,0.5,841,4,2,7957.116426930822,5900.115990303981
kaggle,kNN,0.5,841,4,3,8819.848294765785,5714.441566456241
kaggle,kNN,0.5,841,4,4,8295.832865604034,5410.905431058043
kaggle,kNN,0.75,1262,4,0,7550.103451373578,5486.999162937054
kaggle,kNN,0.75,1262,4,1,7625.777650447571,5426.660772431139
kaggle,kNN,0.75,1262,4,2,7636.033487264157,5664.040020671129
kaggle,kNN,0.75,1262,4,3,8432.807629753157,5539.3749480333045
kaggle,kNN,0.75,1262,4,4,7756.0544455154495,5427.054045101759
kaggle,kNN,1.0,1682,4,0,7361.072885426727,5352.074640555458
kaggle,kNN,1.0,1682,4,1,7361.072885426727,5352.074640555458
kaggle,kNN,1.0,1682,4,2,7361.072885426727,5352.074640555458
kaggle,kNN,1.0,1682,4,3,7361.072885426727,5352.074640555458
kaggle,kNN,1.0,1682,4,4,7361.072885426727,5352.074640555458
kaggle,MLP,0.1,168,0,0,22256.049491752965,19361.397015571627
kaggle,MLP,0.25,420,0,0,11574.082825913594,8549.885381961183
kaggle,MLP,0.5,840,0,0,9696.807904412764,6177.23342999351
kaggle,MLP,0.75,1261,0,0,9098.625808222181,6636.201757707228
kaggle,MLP,1.0,1681,0,0,8006.204977942445,5391.109133413818
kaggle,MLP,0.1,168,1,0,22797.796943384375,19622.701873560232
kaggle,MLP,0.25,420,1,0,10056.451563771396,7956.698549305304
kaggle,MLP,0.5,840,1,0,8611.973965614317,7003.2621173301295
kaggle,MLP,0.75,1261,1,0,7291.194551253239,5648.650057856649
kaggle,MLP,1.0,1681,1,0,6617.086259326066,5233.415648361386
kaggle,MLP,0.1,168,2,0,40734.38268820826,20732.64654357634
kaggle,MLP,0.25,420,2,0,21760.45039200755,8125.210238992542
kaggle,MLP,0.5,841,2,0,6804.195402742981,6761.247791271486
kaggle,MLP,0.75,1262,2,0,5895.2305730912985,6107.088931411963
kaggle,MLP,1.0,1682,2,0,5214.4618756419195,5621.253882334908
kaggle,MLP,0.1,168,3,0,128085.3109370637,20188.20191372936
kaggle,MLP,0.25,420,3,0,8853.341323466613,8607.630590621475
kaggle,MLP,0.5,841,3,0,7368.03574735128,7044.347963455449
kaggle,MLP,0.75,1262,3,0,7140.878451533491,5732.733313306276
kaggle,MLP,1.0,1682,3,0,8567.560747924026,5417.881529050904
kaggle,MLP,0.1,168,4,0,33363.65152657191,20410.561401806008
kaggle,MLP,0.25,420,4,0,10942.083453059722,8194.902852766862
kaggle,MLP,0.5,841,4,0,8309.942456385606,6566.481295983722
kaggle,MLP,0.75,1262,4,0,7478.335894926088,5998.548903920315
kaggle,MLP,1.0,1682,4,0,7250.687552595248,5167.10160440302
