Dataset,Model,Protocol,RMSE,RMSE_sd,MAE,R2
AEMO regional load,kNN,Single random 80/20 (Task 1),201.5571740914281,,154.73893055555558,0.9689321484634361
AEMO regional load,kNN,Repeated random 80/20 (30 seeds),209.55305232729964,12.332063856700552,156.2588828703704,0.9674720102561707
AEMO regional load,kNN,Shuffled 5-fold CV,209.09799582685037,23.334270323389784,155.84905138888888,0.9677274793595206
AEMO regional load,kNN,Blocked 5-fold CV,332.4446535947094,46.58125806852455,259.8204319444445,0.9148808979671014
AEMO regional load,kNN,Forward-chaining (5 splits),348.45226704197347,76.85080419147171,275.1221766666667,0.9012673025772395
AEMO regional load,MLP,Single random 80/20 (Task 1),255.1746967929892,,200.11808980868202,0.9502045209917797
AEMO regional load,MLP,Repeated random 80/20 (10 seeds),288.7510654863657,15.318710135668645,225.25668016202152,0.9377252292094465
AEMO regional load,MLP,Shuffled 5-fold CV,290.1759476813386,29.005416709875437,227.31098619808526,0.9380037214945718
AEMO regional load,MLP,Blocked 5-fold CV,330.05715630419553,46.34117272622163,265.2553398273828,0.9153825485986354
AEMO regional load,MLP,Forward-chaining (5 splits),379.4868362106351,92.57132127939472,302.505979386482,0.882035078240903
Kaggle Victoria demand,kNN,Single random 80/20 (Task 1),6771.620596977225,,5072.403983372923,0.7571050533404287
Kaggle Victoria demand,kNN,Repeated random 80/20 (30 seeds),6552.767507418626,218.56590237534516,5015.633315993667,0.7698067704497331
Kaggle Victoria demand,kNN,Shuffled 5-fold CV,6567.184380759473,189.03903805416294,4993.734358201562,0.7693303130010672
Kaggle Victoria demand,kNN,Blocked 5-fold CV,7296.134597627752,1013.5690636250354,5692.187179579233,0.6979482568507919
Kaggle Victoria demand,kNN,Forward-chaining (5 splits),8559.312762815931,1739.192017979339,6899.628584571428,0.5774886018891721
Kaggle Victoria demand,MLP,Single random 80/20 (Task 1),6132.547319543703,,4672.1062926015275,0.8007881994069342
Kaggle Victoria demand,MLP,Repeated random 80/20 (10 seeds),6889.488745898959,986.7683017271195,5070.308506200126,0.7435181649255358
Kaggle Victoria demand,MLP,Shuffled 5-fold CV,6723.178340790048,1791.3208253092107,4859.6669935505315,0.7499250502882594
Kaggle Victoria demand,MLP,Blocked 5-fold CV,7499.752797533368,1210.0144025477277,5498.889355208063,0.6835380847803514
Kaggle Victoria demand,MLP,Forward-chaining (5 splits),13384.38544729735,4866.871612098734,8271.989595947,-0.12714228690105042
